request1_times,request2_times,total_request_times
0.0010111331939697266,0.0010001659393310547,0.0020112991333007812
0.0009958744049072266,0.001016378402709961,0.0020122528076171875
0.0010657310485839844,0.0010759830474853516,0.002141714096069336
0.0013878345489501953,0.0012998580932617188,0.002687692642211914
0.0012993812561035156,0.0013246536254882812,0.002624034881591797
0.0013070106506347656,0.00127410888671875,0.0025811195373535156
0.0013413429260253906,0.0013480186462402344,0.002689361572265625
0.0013272762298583984,0.0013613700866699219,0.0026886463165283203
0.0014247894287109375,0.0013899803161621094,0.002814769744873047
0.0013468265533447266,0.0013968944549560547,0.0027437210083007812
0.0013794898986816406,0.0013895034790039062,0.002768993377685547
0.0014159679412841797,0.0013778209686279297,0.0027937889099121094
0.0014023780822753906,0.0013837814331054688,0.0027861595153808594
0.001384735107421875,0.0014202594757080078,0.002804994583129883
0.0014464855194091797,0.001417398452758789,0.0028638839721679688
0.0013477802276611328,0.0011188983917236328,0.0024666786193847656
0.0010538101196289062,0.0010292530059814453,0.0020830631256103516
0.0010089874267578125,0.00115203857421875,0.0021610260009765625
0.0010514259338378906,0.0010154247283935547,0.0020668506622314453
0.0012433528900146484,0.0013146400451660156,0.002557992935180664
0.0009245872497558594,0.000982522964477539,0.0019071102142333984
0.0009543895721435547,0.0009746551513671875,0.0019290447235107422
0.0009546279907226562,0.0009520053863525391,0.0019066333770751953
0.0009636878967285156,0.000949859619140625,0.0019135475158691406
0.001020669937133789,0.0010242462158203125,0.0020449161529541016
0.000957489013671875,0.0009744167327880859,0.001931905746459961
0.0009341239929199219,0.0009233951568603516,0.0018575191497802734
0.0009698867797851562,0.0009751319885253906,0.0019450187683105469
0.0009751319885253906,0.0009763240814208984,0.001951456069946289
0.0009756088256835938,0.0009758472442626953,0.001951456069946289
0.0009770393371582031,0.0009768009185791016,0.0019538402557373047
0.0010411739349365234,0.0009946823120117188,0.002035856246948242
0.0009684562683105469,0.0009250640869140625,0.0018935203552246094
0.0009648799896240234,0.0009613037109375,0.0019261837005615234
0.0009157657623291016,0.0009744167327880859,0.0018901824951171875
0.0010280609130859375,0.0009922981262207031,0.0020203590393066406
0.0009763240814208984,0.0009751319885253906,0.001951456069946289
0.0009770393371582031,0.0009732246398925781,0.0019502639770507812
0.0009717941284179688,0.0009751319885253906,0.0019469261169433594
0.0009772777557373047,0.0009739398956298828,0.0019512176513671875
0.0009763240814208984,0.0009522438049316406,0.001928567886352539
0.0009725093841552734,0.0009758472442626953,0.0019483566284179688
0.0010128021240234375,0.0009641647338867188,0.0019769668579101562
0.0009810924530029297,0.0009720325469970703,0.001953125
0.0010404586791992188,0.000997304916381836,0.0020377635955810547
0.0010046958923339844,0.0009922981262207031,0.0019969940185546875
0.0010285377502441406,0.0010035037994384766,0.002032041549682617
0.0010194778442382812,0.0010001659393310547,0.002019643783569336
0.0009322166442871094,0.0009207725524902344,0.0018529891967773438
0.0009732246398925781,0.000972747802734375,0.0019459724426269531
0.0009620189666748047,0.0009615421295166016,0.0019235610961914062
0.0009605884552001953,0.0009503364562988281,0.0019109249114990234
0.0009846687316894531,0.0009489059448242188,0.0019335746765136719
0.0009455680847167969,0.0009524822235107422,0.001898050308227539
